Genes	E14tg2a 0h 2A	E14tg2a 0h 2B	E14tg2a 0h 2C	E14tg2a 0h 2D	E14tg2a 0h 2E	E14tg2a 0h 2F	E14tg2a 0h 2G	E14tg2a 0h 2H	E14tg2a 0h 3A	E14tg2a 0h 3B	E14tg2a 0h 3C	E14tg2a 0h 3D	E14tg2a 0h 3E	E14tg2a 0h 3F	E14tg2a 0h 3G	E14tg2a 0h 3H	E14tg2a 0h 4A	E14tg2a 0h 4B	E14tg2a 0h 4C	E14tg2a 0h 4D	E14tg2a 0h 4E	E14tg2a 0h 4F	E14tg2a 0h 4G	E14tg2a 0h 4H	E14tg2a 0h 5A	E14tg2a 0h 5B	E14tg2a 0h 5C	E14tg2a 0h 5D	E14tg2a 0h 5E	E14tg2a 0h 5F	E14tg2a 0h 5G	E14tg2a 0h 5H	E14tg2a 0h 6A	E14tg2a 0h 6B	E14tg2a 0h 6C	E14tg2a 0h 6D	E14tg2a 0h 6E	E14tg2a 0h 6F	E14tg2a 0h 6G	E14tg2a 0h 6H	E14tg2a-0h 1A	E14tg2a-0h 1B	E14tg2a-0h 1C	E14tg2a-0h 1D	E14tg2a-0h 1E	E14tg2a-0h 1F	E14tg2a-0h 1G	E14tg2a-0h 1H	R1-0h 1A	R1-0h 1B	R1-0h 1C	R1-0h 1D	R1-0h 1E	R1-0h 1F	R1-0h 1G	R1-0h 1H	R1-0h 2A	R1-0h 2B	R1-0h 2C	R1-0h 2D	R1-0h 2E	R1-0h 2F	R1-0h 2G	R1-0h 2H	R1-0h 3A	R1-0h 3B	R1-0h 3C	R1-0h 3D	R1-0h 3E	R1-0h 3F	R1-0h 3G	R1-0h 3H	R1-0h 4A	R1-0h 4B	R1-0h 4C	R1-0h 4D	R1-0h 4E	R1-0h 4F	R1-0h 4G	R1-0h 4H	R1-0h 5A	R1-0h 5B	R1-0h 5C	R1-0h 5D	R1-0h 5E	R1-0h 5F	R1-0h 5G	R1-0h 5H	R1-0h 6A	R1-0h 6B	R1-0h 6C	R1-0h 6D	R1-0h 6E	R1-0h 6F	R1-0h 6G	R1-0h 6H	
Tgm2	999	17.59316957	17.92421629	999	999	999	999	17.71983289	999	17.68528658	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.95045237	999	999	999	999	999	999	999	999	17.58199668	999	999	999	999	17.78220516	24.26760691	999	18.49027762	999	999	999	999	17.86598539	999	999	999	999	999	999	999	999	17.71369603	999	999	999	21.31637439	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Trp53	999	13.80161825	15.9102595	999	14.17546407	14.15262504	13.66188568	13.28080575	19.80849129	15.24168434	15.08205035	999	13.6957829	14.9028626	999	13.23228672	18.61106225	21.92798967	13.6350483	13.23820574	13.52418844	13.75737759	999	13.79604591	14.47956918	16.02059671	14.18157041	14.85610436	13.30315757	14.2983069	13.91988582	999	13.87741481	14.29811965	24.61299911	14.03353308	24.26011879	14.03607775	13.9964808	13.00934261	22.22585272	13.89527273	14.42696043	14.50855932	13.76377227	14.11502358	12.84102484	13.48449663	17.00838791	999	14.58944764	15.17370254	33.82459864	25.8601403	999	13.82547969	999	999	14.834062	14.61465703	14.93939972	14.54852436	999	15.46970171	14.83413326	999	999	999	999	14.11001117	14.7562178	16.38949786	14.27437129	13.84215239	14.14207477	999	14.66058084	14.3657287	13.81865453	14.63476281	13.11543798	14.34279466	14.30018934	22.99367291	13.9127504	15.21879491	15.04113172	25.71866846	999	14.5615964	999	17.4022435	15.21137667	15.46521732	15.41967314	13.88503584	
Tubb3	999	14.84536939	15.50725672	999	14.46733259	14.09958398	13.25977588	13.36442253	15.03289137	13.72405656	13.96745656	999	12.78655729	14.11557148	999	14.03442619	14.02874288	999	13.51781409	16.69565357	17.55239897	14.13189986	999	15.44928039	15.46610249	13.39516363	13.4400644	999	13.88784453	13.97194852	15.66237148	999	13.91916645	17.26399665	25.23788639	13.41214377	24.08307992	13.7845001	14.59863232	14.18692875	25.43156073	13.83747199	15.93367806	13.67330536	12.94245899	14.96798223	13.07734206	15.95366561	14.03333944	999	15.56048653	15.74087229	999	25.00965335	999	14.31858325	999	999	13.7389679	12.9571061	14.42342271	14.91665211	999	16.78233858	14.54104326	999	999	999	999	14.90428707	14.44869835	16.75091695	15.14420177	15.05654225	13.41026252	14.5503623	15.44417879	14.61179124	15.02066421	14.53500718	17.28638508	15.76627271	14.94388938	22.96818622	13.71372092	16.26671819	13.92999419	999	999	14.95561015	999	14.52227299	13.19143646	16.09265542	16.65586105	14.63071262	
Utf1	999	19.54591207	999	22.27573522	17.861937	14.51491789	14.50559143	14.26159873	999	26.21942418	24.05262298	999	18.97229396	18.23194946	999	14.69259914	999	999	15.90306674	14.96274103	15.2484561	16.77932675	999	15.73235958	23.34063943	25.78391616	15.92730156	18.59052825	14.03869852	21.72968894	21.74037752	20.07815912	19.33557712	21.13877151	24.77060432	16.62422976	999	20.67869488	21.23394763	24.6667032	22.26688204	16.67696645	19.74466956	16.91172625	16.41166199	14.18313746	13.49568007	13.57956668	999	999	16.06387	24.79364779	999	999	999	22.10060566	999	999	15.10182732	24.33154772	20.10344036	18.47722926	999	20.52140515	24.44987006	999	999	999	999	20.79183621	25.242749	17.01351137	15.56525138	17.4361955	23.32705107	999	17.52560343	18.4754248	22.09522284	19.58205878	13.99879636	21.38049097	22.63868107	999	21.12863656	999	24.93389586	26.17918528	999	23.66544049	999	999	999	999	19.89785701	14.61272829	
Vim	15.3853508	11.92395403	11.80762278	17.65995222	12.09469898	11.16475879	10.81564318	10.37428474	11.53489379	11.00649918	11.72296962	999	12.0812134	12.33345366	999	11.6230478	11.17938575	17.62932319	11.60715016	11.59553326	17.49223134	10.19355733	18.99649201	14.04336374	11.50859536	11.11742317	10.94071063	10.8537691	11.69512103	11.86727515	11.71869229	999	10.81814584	11.31461671	17.36689662	9.683854896	21.76765681	11.91469951	11.96521489	11.17766091	21.74767787	12.19991741	11.95692846	11.70340881	11.04955503	11.0099521	12.40972161	12.95101364	10.88619417	999	9.968576526	12.63914512	23.13830081	16.99760896	999	10.68401354	16.56595471	999	11.23779868	11.03521597	10.04721247	11.4817284	25.26130855	12.79630206	11.04142816	17.91206689	999	17.48977168	17.21017517	11.22355725	11.703718	12.24881785	11.9595424	10.80308297	10.37904388	999	12.4873049	11.19519879	10.68740549	11.07772954	11.56944846	12.60540851	11.10021145	17.34277091	10.93071544	13.29385407	11.4127813	22.82097039	25.30799882	10.14377955	999	11.30916017	10.21646664	10.90173215	10.99600254	10.61758115	
Wdr5	19.11596868	15.41253885	13.78011122	999	14.26184598	13.98229171	14.51820333	13.54202843	14.82083153	13.72491947	14.22976411	999	13.76871202	14.28354606	999	13.56303808	13.98956529	999	13.92461028	15.00428704	14.63547319	13.86980849	19.45682841	13.58407023	13.65875526	13.83070358	14.3423266	14.6955157	13.16779695	14.96469404	14.36436713	999	14.28603326	14.14805871	26.40080957	13.48806154	26.23442949	13.78778618	13.69479618	13.31117802	22.57737968	13.88451156	14.37154205	14.5017755	14.15872371	14.16942383	13.51943639	14.15788492	13.05405476	999	13.78476532	14.0437764	23.5260616	24.45550901	999	12.87202719	999	999	14.02953086	14.35928147	13.67606753	14.28531155	999	15.70521692	14.68143057	999	999	999	19.33692739	14.55683839	14.21802139	14.990247	14.41243768	13.40841541	14.78389057	999	13.87340235	14.76172296	12.9735718	13.75183579	13.56216344	14.45967226	14.07698228	23.24128216	14.1809137	15.17869987	15.15861108	999	999	13.49440062	999	14.11806416	14.48158206	15.10027832	14.44286951	15.39610601	
Wnt3a	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	16.71906575	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.13133997	999	999	999	18.46085597	999	999	999	999	26.96454929	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.3455218	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Wnt5a	999	18.31259575	999	999	999	999	17.90198167	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Zfp281	999	14.87390292	13.69396598	999	13.44961717	13.24661366	12.45499888	13.40820599	12.46338159	14.06101047	13.80121008	999	13.78921329	13.52639111	999	12.85210439	12.99423317	999	13.51664271	13.21725724	14.08411534	13.12226556	18.03528878	13.53568033	13.90060526	13.06730163	13.04170128	13.80581157	13.73424485	13.50940591	13.2259977	999	13.66241484	13.39815761	25.09836287	12.62325963	25.44973212	12.70069349	13.40738718	13.19640765	22.33693534	13.84146633	13.99673692	14.10620437	13.44182654	13.72507237	12.73017771	13.05305457	13.07934153	999	14.5257337	13.83190331	25.24899996	999	999	13.07919304	999	999	13.23089412	13.08252359	13.0492295	14.23614174	999	14.20276232	13.35819049	999	999	999	999	13.96483722	14.38427593	14.12768458	13.69394451	12.971617	13.42874458	16.44872266	14.03198614	12.9209373	13.22176654	13.63191112	12.7064684	13.24686559	13.65647882	21.7481255	12.70635855	17.60471641	15.16684062	23.54219508	999	12.71458069	999	13.2274906	13.43139447	13.6589136	15.45329992	14.92695161	
Zfp42	999	13.41439739	11.4828597	999	12.11769467	11.08021091	10.71933361	10.636481	10.93186993	11.10913788	12.43246136	20.26202461	10.51782123	12.29224044	22.45086019	11.11639548	10.98448371	19.36973772	11.0737908	11.12826765	11.20662646	12.09020309	999	9.97754123	11.59646178	10.9402923	11.51098514	12.2333567	11.51836296	11.67513702	11.66393347	17.61741758	11.68006925	10.55019014	16.95086267	10.61673051	20.26283024	11.28622247	11.01386613	11.08541967	18.88055394	12.46925612	10.91315949	11.55522722	11.91448069	10.58435889	10.8753763	11.80303875	11.61547635	999	10.80356046	12.01648076	17.05842548	19.87809701	999	10.87973058	20.27204952	999	10.94564882	10.59710562	10.33481721	12.67454712	17.64520514	12.24689177	11.31966488	999	999	999	999	11.66074852	11.51305191	11.67270183	11.08335453	10.84152687	11.11967721	18.41835437	12.60995696	11.67308544	11.29649563	12.87704466	11.29074354	11.89699893	11.76121277	20.47238282	10.98010763	12.6742381	12.85107748	19.89156165	999	10.45205734	999	11.01983807	11.13686879	11.58115786	12.59872844	11.765707	
