Gene,gamma,beta,offset,a,t,h,intercept
Ccng2,0.2375394,281.94998,-0.636814,1.8990276,0.35032377,1.0328252,0.03218733
Ccnj,0.2435315,2.3928106,0.0,1.0,0.5,0.67443657,0.0
Ccnl1,4.945395,27.67437,-0.041278843,0.4667408,-0.7912745,3.1843185,0.16391405
Cd1d1,0.027640317,176.61969,-0.6231157,2.1169806,0.37105647,1.403586,0.021373464
Cd200r3,0.45386216,2.1909494,0.0,1.0,0.5,5.046979,0.0
Cd24a,0.012414664,37.89501,0.0,1.0,0.5,13.900121,0.0
Cd27,14.636995,690.1684,0.7612429,45.544884,0.38605335,2.5350523,0.012457873
Cd274,1.2482424,0.70180917,0.0,1.0,0.5,0.9352859,0.0
Cd2ap,4.195271,5.4634275,0.019936496,0.9608963,-0.8081213,1.2662234,0.010514997
Cd34,14.132943,273.29617,-0.6554338,7.7649646,0.46585318,4.820775,0.1811653
Cd37,5.6510887,27.549704,-0.28293255,0.25632775,1.938751,3.4113533,-0.23420222
Cd46,1.4380566,0.5699545,0.0,1.0,0.5,0.5150485,0.0
Cd48,13.314476,140.8038,-2.1073236,5.576496,0.65918523,5.6952763,-0.08115675
Cd53,0.16018067,21.714659,-0.46952978,0.018852292,-0.7704009,1.7495915,0.16195522
Cd55,1.8691553,7.5769453,-0.4973285,0.31279242,-0.7985685,1.4508476,0.106975734
Cd59a,30.107122,415.85242,-0.59086317,3.0885422,0.43254712,0.8324701,0.0039741965
Cd63,0.005771368,120.90685,0.0,1.0,0.5,38.493176,0.0
Cd69,34.71892,186.38501,0.17036174,0.89248866,2.2048895,1.0252731,-0.043562166
Cd72,0.14849523,9.8955145,-0.5596111,0.40641347,-0.36288792,1.3064145,0.076893
Cd74,0.42163897,3.0899768,0.24571826,4.888488,2.1115427,4.525527,0.31660652
Cd81,0.0009554271,110.02056,0.0,1.0,0.5,10.777357,0.0
Cd82,2.0785713,0.24430202,0.0,1.0,0.5,0.67577314,0.0
Cd84,8.351119,5.0479956,-0.013580949,0.3745358,-1.3074367,1.0161556,-0.13175434
Cd9,4.2214847,138.68011,-0.7284722,0.7661288,-0.56732035,8.169999,0.0417661
Cd93,0.0028300409,72.491425,0.0,1.0,0.5,3.5474772,0.0
Cd99l2,5.138758,11.624228,-0.060767453,0.37816086,-1.3009694,0.7011545,-0.0011368014
Cdc14a,1.6132462,8.174864,-0.14350075,0.26481473,-1.0415226,0.73299426,0.6675766
Cdc20,0.0050791427,241.91054,0.60495234,0.8062751,2.2252343,3.9411933,0.023554428
